"Date","Total_Type0_Amount","Total_Type1_Amount","Total_Amount","Total_TP_Amount"
"2022-01-01",32233.46,9843.72,42077.18,42077.16
"2022-01-02",32078.59,10696.94,42775.53,42725.93
"2022-01-03",31754.32,11160.78,42915.1,42841.57
"2022-01-04",39950.62,12339.56,52290.18,52290.2
"2022-01-05",39783.21,12104.31,51887.52,51885.49
"2022-01-06",41992.0,13158.65,55150.65,55116.06
"2022-01-07",41276.58,13670.17,54946.75,54897.18
"2022-01-08",41422.91,12130.4,53553.31,53496.13
"2022-01-09",39895.29,12148.65,52043.94,52043.94
"2022-01-10",40084.97,13430.76,53515.73,53481.91
"2022-01-11",40616.88,12673.26,53290.14,53265.59
"2022-01-12",41091.96,12547.3,53639.26,53622.37
"2022-01-13",40211.17,13637.99,53849.16,53835.66
"2022-01-14",41051.02,13147.61,54198.63,54198.64
"2022-01-15",39124.35,13086.96,52211.31,52211.28
"2022-01-16",40882.39,13667.4,54549.79,54549.77
"2022-01-17",40448.95,12204.39,52653.34,52653.32
"2022-01-18",41603.69,12487.89,54091.58,54000.57
"2022-01-19",40459.25,13822.38,54281.63,54281.65
"2022-01-20",40395.03,12205.68,52600.71,52513.68
"2022-01-21",42375.39,12493.35,54868.74,54841.21
"2022-01-22",41188.43,12167.55,53355.98,53315.59
"2022-01-23",40966.06,13094.3,54060.36,54003.82
"2022-01-24",42077.79,11902.67,53980.46,53980.42
"2022-01-25",40105.63,13141.95,53247.58,53226.14
"2022-01-26",39507.01,12319.35,51826.36,51805.63
"2022-01-27",41948.94,12994.54,54943.48,54943.49
"2022-01-28",39600.19,12051.94,51652.13,51629.96
"2022-01-29",40984.42,14320.45,55304.87,55235.8
"2022-01-30",40682.92,12641.81,53324.73,53301.01
"2022-01-31",41367.1,13531.35,54898.45,54898.44
"2022-02-01",39058.21,13188.83,52247.04,52219.1
"2022-02-02",39163.26,13340.31,52503.57,52468.47
"2022-02-03",40366.7,13089.18,53455.88,53372.96
"2022-02-04",39504.79,13198.63,52703.42,52667.47
"2022-02-05",40974.35,13647.82,54622.17,54622.18
"2022-02-06",40311.15,12618.27,52929.42,52929.4
"2022-02-07",38918.64,13066.38,51985.02,51985.04
"2022-02-08",41182.81,13316.74,54499.55,54478.6
"2022-02-09",41665.75,13138.39,54804.14,54804.13
"2022-02-10",42242.48,12095.13,54337.61,54337.63
"2022-02-11",39967.81,12844.22,52812.03,52787.49
"2022-02-12",40375.2,12872.28,53247.48,53136.49
"2022-02-13",39610.0,12458.54,52068.54,51987.54
"2022-02-14",38652.94,12278.28,50931.22,50914.76
"2022-02-15",39794.81,12626.63,52421.44,52376.14
"2022-02-16",39221.76,11648.81,50870.57,50870.56
"2022-02-17",40070.76,12924.09,52994.85,52962.75
"2022-02-18",38753.95,13257.98,52011.93,52011.94
"2022-02-19",40038.25,11225.65,51263.9,51232.68
"2022-02-20",40670.61,12423.1,53093.71,53024.93
"2022-02-21",38229.24,13469.37,51698.61,51691.79
